DATE,people,PV_kWh,GRID_kWh,GRID_a_kWh,GRID_l_kWh,GRID_v_kWh,GRID_ve_kWh,GRID_data_kWh,GRID_pro_kWh,GRID_aux_kWh,GRID_ww_kWh,GRID_hs_kWh,GRID_cs_kWh,GRID_cdata_kWh,GRID_cre_kWh,E_sys_kWh,Eal_kWh,Ea_kWh,El_kWh,Ev_kWh,Eve_kWh,Edata_kWh,Epro_kWh,Eaux_kWh,E_ww_kWh,E_hs_kWh,E_cs_kWh,E_cre_kWh,E_cdata_kWh,Qhs_sen_shu_kWh,Qhs_sen_ahu_kWh,Qhs_lat_ahu_kWh,Qhs_sen_aru_kWh,Qhs_lat_aru_kWh,Qhs_sen_sys_kWh,Qhs_lat_sys_kWh,Qhs_em_ls_kWh,Qhs_dis_ls_kWh,Qhs_sys_shu_kWh,Qhs_sys_ahu_kWh,Qhs_sys_aru_kWh,Qcs_sys_scu_kWh,Qcs_sys_ahu_kWh,Qcs_sys_aru_kWh,DH_hs_kWh,Qhs_sys_kWh,Qhs_kWh,DH_ww_kWh,Qww_sys_kWh,Qww_kWh,DC_cs_kWh,Qcs_sys_kWh,Qcs_kWh,DC_cre_kWh,Qcre_sys_kWh,Qcre_kWh,DC_cdata_kWh,Qcdata_sys_kWh,Qcdata_kWh,NG_hs_kWh,COAL_hs_kWh,OIL_hs_kWh,WOOD_hs_kWh,SOLAR_hs_kWh,NG_ww_kWh,COAL_ww_kWh,OIL_ww_kWh,WOOD_ww_kWh,SOLAR_ww_kWh,Qcs_sen_scu_kWh,Qcs_sen_ahu_kWh,Qcs_lat_ahu_kWh,Qcs_sen_aru_kWh,Qcs_lat_aru_kWh,Qcs_sen_sys_kWh,Qcs_lat_sys_kWh,Qcs_em_ls_kWh,Qcs_dis_ls_kWh,Qhpro_sys_kWh,Qcpro_sys_kWh,QH_sys_kWh,QC_sys_kWh,Q_gain_sen_light_kWh,Q_gain_sen_app_kWh,Q_gain_sen_peop_kWh,Q_gain_sen_data_kWh,Q_loss_sen_ref_kWh,Q_gain_sen_wall_kWh,Q_gain_sen_base_kWh,Q_gain_sen_roof_kWh,Q_gain_sen_wind_kWh,Q_gain_sen_vent_kWh,Q_gain_lat_peop_kWh,Q_gain_sen_pro_kWh,I_sol_kWh,I_rad_kWh,I_sol_and_I_rad_kWh,mcpww_sys_kWperC,mcptw_kWperC,mcpcs_sys_kWperC,mcphs_sys_kWperC,mcpcs_sys_ahu_kWperC,mcpcs_sys_aru_kWperC,mcpcs_sys_scu_kWperC,mcphs_sys_ahu_kWperC,mcphs_sys_aru_kWperC,mcphs_sys_shu_kWperC,mcpcre_sys_kWperC,mcpcdata_sys_kWperC,T_int_C,T_ext_C,theta_o_C,Tww_sys_sup_C,Tww_sys_re_C,Tcre_sys_re_C,Tcre_sys_sup_C,Tcdata_sys_re_C,Tcdata_sys_sup_C,Ths_sys_sup_aru_C,Ths_sys_sup_ahu_C,Ths_sys_sup_shu_C,Ths_sys_re_aru_C,Ths_sys_re_ahu_C,Ths_sys_re_shu_C,Tcs_sys_sup_aru_C,Tcs_sys_sup_ahu_C,Tcs_sys_sup_scu_C,Tcs_sys_re_aru_C,Tcs_sys_re_ahu_C,Tcs_sys_re_scu_C,Ths_sys_sup_C,Ths_sys_re_C,Tcs_sys_sup_C,Tcs_sys_re_C
2017-01-01 00:00:00,300.000,0.000,112.049,22.185,19.759,0.000,0.000,0.000,0.000,1.011,0.000,69.090,0.000,0.000,0.000,42.963,41.945,22.185,19.759,0.000,0.000,0.000,0.000,1.011,0.000,69.090,0.000,0.000,0.000,0.000,0.000,0.000,252.426,0.000,252.426,0.000,20.998,2.925,0.000,0.000,276.349,0.000,0.000,0.000,0.000,276.349,252.426,0.000,77.815,11.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,89.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,354.164,0.000,17.785,22.185,21.000,0.000,-0.000,-739.784,-262.241,-373.386,-156.630,-158.077,12.611,0.000,0.000,298.247,-298.247,1.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.162,0.000,0.000,0.000,2409.727,841.500,2402.667,8160.000,1880.880,0.000,0.000,0.000,0.000,700.000,0.000,0.000,426.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 01:00:00,300.000,0.000,115.127,22.185,19.759,0.000,0.000,0.000,0.000,1.049,0.000,72.125,0.000,0.000,0.000,43.000,41.945,22.185,19.759,0.000,0.000,0.000,0.000,1.049,0.000,72.125,0.000,0.000,0.000,0.000,0.000,0.000,263.580,0.000,263.580,0.000,21.842,3.078,0.000,0.000,288.498,0.000,0.000,0.000,0.000,288.498,263.580,0.000,83.675,8.725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,96.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,372.172,0.000,17.785,22.185,21.000,0.000,-0.000,-714.083,-254.367,-362.254,-152.482,-154.825,12.611,0.000,0.000,326.211,-326.211,1.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.826,0.000,0.000,0.000,2344.398,825.000,2335.289,8160.000,1880.880,0.000,0.000,0.000,0.000,700.000,0.000,0.000,426.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 02:00:00,300.000,0.000,117.776,22.185,19.759,0.000,0.000,0.000,0.000,1.085,0.000,74.741,0.000,0.000,0.000,43.036,41.945,22.185,19.759,0.000,0.000,0.000,0.000,1.085,0.000,74.741,0.000,0.000,0.000,0.000,0.000,0.000,273.544,0.000,273.544,0.000,22.175,3.246,0.000,0.000,298.963,0.000,0.000,0.000,0.000,298.963,273.544,0.000,89.127,7.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,102.462,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,388.091,0.000,17.785,22.185,21.000,0.000,-0.000,-712.591,-254.843,-362.988,-153.420,-156.541,12.611,0.000,0.000,304.875,-304.875,1.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.308,0.000,0.000,0.000,2282.809,759.000,2271.811,8160.000,1880.880,0.000,0.000,0.000,0.000,700.000,0.000,0.000,426.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 03:00:00,300.000,0.000,118.385,22.185,19.759,0.000,0.000,0.000,0.000,1.093,0.000,75.346,0.000,0.000,0.000,43.041,41.945,22.185,19.759,0.000,0.000,0.000,0.000,1.093,0.000,75.346,0.000,0.000,0.000,0.000,0.000,0.000,275.168,0.000,275.168,0.000,22.995,3.223,0.000,0.000,301.388,0.000,0.000,0.000,0.000,301.388,275.168,0.000,93.228,3.757,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,106.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,394.616,0.000,17.785,22.185,21.000,0.000,-0.000,-645.778,-232.697,-331.546,-141.501,-145.437,12.611,0.000,0.000,252.660,-252.660,2.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.628,0.000,0.000,0.000,2239.535,841.500,2224.912,8040.000,1853.220,0.000,0.000,0.000,0.000,700.000,0.000,0.000,426.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 04:00:00,300.000,0.000,121.991,22.185,19.759,0.000,0.000,0.000,0.000,1.140,0.000,78.904,0.000,0.000,0.000,43.087,41.945,22.185,19.759,0.000,0.000,0.000,0.000,1.140,0.000,78.904,0.000,0.000,0.000,0.000,0.000,0.000,288.111,0.000,288.111,0.000,24.112,3.385,0.000,0.000,315.614,0.000,0.000,0.000,0.000,315.614,288.111,0.000,93.870,3.757,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,409.484,0.000,17.785,22.185,21.000,0.000,-0.000,-616.141,-223.375,-318.343,-135.638,-140.300,12.611,0.000,0.000,393.726,-393.726,2.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.507,0.000,0.000,0.000,2170.422,841.500,2155.536,8040.000,1853.220,0.000,0.000,0.000,0.000,700.000,0.000,0.000,426.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 05:00:00,300.000,0.000,329.375,43.395,19.759,0.000,0.000,0.000,0.000,3.328,0.000,262.891,0.000,0.000,0.000,66.479,63.157,43.395,19.759,0.000,0.000,0.000,0.000,3.328,0.000,262.891,0.000,0.000,0.000,0.000,0.000,0.000,1177.527,0.000,1177.527,0.000,128.580,13.817,0.000,0.000,1319.927,0.000,0.000,0.000,0.000,1319.927,1177.527,0.000,84.966,7.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,97.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1404.895,0.000,17.785,43.395,21.000,0.000,-0.000,-584.668,-212.100,-302.286,-146.565,-170.463,12.611,0.000,0.000,365.103,-365.103,1.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.596,0.000,0.000,0.000,2711.688,907.500,2472.971,8160.000,1880.880,0.000,0.000,0.000,0.000,5145.000,0.000,0.000,2891.326,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 06:00:00,204.000,0.000,338.515,44.120,29.655,0.000,0.098,0.000,0.000,3.851,0.000,260.797,0.000,0.000,0.000,77.722,73.773,44.120,29.655,0.000,0.098,0.000,0.000,3.851,0.000,260.797,0.000,0.000,0.000,0.000,0.247,0.000,1168.242,0.000,1168.489,0.000,127.596,13.672,0.000,0.281,1309.479,0.000,0.000,0.000,0.000,1309.760,1168.489,0.000,99.879,44.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,115.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1409.638,0.000,26.698,44.120,14.280,0.000,-0.000,-585.153,-211.918,-301.993,-146.567,-170.189,6.837,0.000,0.000,306.465,-306.465,2.161,0.000,0.000,0.000,0.000,0.000,0.000,0.018,108.266,0.000,0.000,0.000,2709.226,907.500,2472.726,8580.000,1977.690,0.000,0.000,0.000,0.000,5215.000,35.000,0.000,3311.118,21.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 07:00:00,357.000,0.000,348.565,55.990,29.655,0.000,1.757,0.000,0.000,3.861,0.000,257.301,0.000,0.000,0.000,91.263,85.647,55.990,29.655,0.000,1.757,0.000,0.000,3.861,0.000,257.301,0.000,0.000,0.000,0.000,11.271,0.000,1138.043,0.000,1149.315,0.000,129.588,13.298,0.000,12.779,1279.424,0.000,0.000,0.000,0.000,1292.203,1149.315,0.000,196.241,138.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,226.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1488.448,0.000,26.698,55.990,24.990,0.000,-0.000,-555.626,-201.392,-286.995,-140.266,-166.458,8.489,0.000,0.000,307.993,-307.993,4.249,0.000,0.000,0.000,0.000,0.000,0.000,0.810,102.054,0.000,0.000,0.000,2707.447,973.500,2472.986,8580.000,1977.690,0.000,0.000,0.000,0.000,5250.000,70.000,0.000,3333.343,42.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 08:00:00,366.000,0.000,485.898,56.252,32.905,0.000,1.762,0.000,0.000,5.738,0.000,389.236,0.000,0.000,0.000,96.658,89.157,56.252,32.905,0.000,1.762,0.000,0.000,5.738,0.000,389.236,0.000,0.000,0.000,0.000,11.443,0.000,1851.299,0.000,1862.742,0.000,158.209,19.801,0.000,12.852,2027.903,0.000,0.000,0.000,0.000,2040.755,1862.742,0.000,228.986,160.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2269.735,0.000,29.623,56.252,25.620,0.000,-0.000,-661.789,-236.745,-337.240,-178.664,-221.443,8.566,0.000,1055.203,325.479,729.725,4.959,0.000,0.000,0.000,0.000,0.000,0.000,0.813,155.237,0.000,0.000,0.000,3246.132,825.000,2844.975,8580.000,1977.690,0.000,0.000,0.000,0.000,5390.000,70.000,0.000,3448.210,41.858,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-01 09:00:00,223.000,0.000,399.674,28.633,35.414,0.000,1.745,0.000,0.000,5.983,0.000,327.904,0.000,0.000,0.000,71.765,64.046,28.633,35.414,0.000,1.745,0.000,0.000,5.983,0.000,327.904,0.000,0.000,0.000,0.000,2.269,0.000,1538.707,0.000,1540.976,0.000,174.213,14.222,0.000,2.618,1726.790,0.000,0.000,0.000,0.000,1729.408,1540.976,0.000,261.120,179.498,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1990.529,0.000,31.880,28.633,15.610,0.000,-0.000,-393.345,-142.893,-203.629,-122.119,-156.794,2.505,0.000,1459.392,270.660,1188.727,5.655,0.000,0.000,0.000,0.000,0.000,0.000,0.170,158.487,0.000,0.000,0.000,3256.135,1501.500,2910.564,8580.000,1977.690,0.000,0.000,0.000,0.000,5355.000,35.000,0.000,3769.124,21.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
