,ac_output_per_kwp
2023-01-01 00:00:00+09:00,0.0
2023-01-01 01:00:00+09:00,0.0
2023-01-01 02:00:00+09:00,0.0
2023-01-01 03:00:00+09:00,0.0
2023-01-01 04:00:00+09:00,0.0
2023-01-01 05:00:00+09:00,0.0
2023-01-01 06:00:00+09:00,0.0
2023-01-01 07:00:00+09:00,0.07969763882386711
2023-01-01 08:00:00+09:00,0.26024300174142273
2023-01-01 09:00:00+09:00,0.4993992022575643
2023-01-01 10:00:00+09:00,0.723827487225418
2023-01-01 11:00:00+09:00,0.8642303030241668
2023-01-01 12:00:00+09:00,0.855608636375657
2023-01-01 13:00:00+09:00,0.7102757639874118
2023-01-01 14:00:00+09:00,0.5291992855940263
2023-01-01 15:00:00+09:00,0.26850901787418
2023-01-01 16:00:00+09:00,0.017316772798603528
2023-01-01 17:00:00+09:00,0.0
2023-01-01 18:00:00+09:00,0.0
2023-01-01 19:00:00+09:00,0.0
2023-01-01 20:00:00+09:00,0.0
2023-01-01 21:00:00+09:00,0.0
2023-01-01 22:00:00+09:00,0.0
2023-01-01 23:00:00+09:00,0.0
2023-01-02 00:00:00+09:00,0.0
2023-01-02 01:00:00+09:00,0.0
2023-01-02 02:00:00+09:00,0.0
2023-01-02 03:00:00+09:00,0.0
2023-01-02 04:00:00+09:00,0.0
2023-01-02 05:00:00+09:00,0.0
2023-01-02 06:00:00+09:00,0.0
2023-01-02 07:00:00+09:00,0.0392680315620385
2023-01-02 08:00:00+09:00,0.5806317234073892
2023-01-02 09:00:00+09:00,0.7407218463375553
2023-01-02 10:00:00+09:00,0.7702079415942809
2023-01-02 11:00:00+09:00,0.7568025258289492
2023-01-02 12:00:00+09:00,0.6553280729651901
2023-01-02 13:00:00+09:00,0.5863399779884977
2023-01-02 14:00:00+09:00,0.49448646878554814
2023-01-02 15:00:00+09:00,0.27358750866617443
2023-01-02 16:00:00+09:00,0.029670522143992968
2023-01-02 17:00:00+09:00,0.0
2023-01-02 18:00:00+09:00,0.0
2023-01-02 19:00:00+09:00,0.0
2023-01-02 20:00:00+09:00,0.0
2023-01-02 21:00:00+09:00,0.0
2023-01-02 22:00:00+09:00,0.0
2023-01-02 23:00:00+09:00,0.0
2023-01-03 00:00:00+09:00,0.0
2023-01-03 01:00:00+09:00,0.0
2023-01-03 02:00:00+09:00,0.0
2023-01-03 03:00:00+09:00,0.0
2023-01-03 04:00:00+09:00,0.0
2023-01-03 05:00:00+09:00,0.0
2023-01-03 06:00:00+09:00,0.0
2023-01-03 07:00:00+09:00,0.04211337009937105
2023-01-03 08:00:00+09:00,0.3326796897934046
2023-01-03 09:00:00+09:00,0.6345467036308776
2023-01-03 10:00:00+09:00,0.7395895390338986
2023-01-03 11:00:00+09:00,0.6914023565832031
2023-01-03 12:00:00+09:00,0.567908077681512
2023-01-03 13:00:00+09:00,0.521835615180701
2023-01-03 14:00:00+09:00,0.4659660422645394
2023-01-03 15:00:00+09:00,0.23639771397008075
2023-01-03 16:00:00+09:00,0.027982687284811958
2023-01-03 17:00:00+09:00,0.0
2023-01-03 18:00:00+09:00,0.0
2023-01-03 19:00:00+09:00,0.0
2023-01-03 20:00:00+09:00,0.0
2023-01-03 21:00:00+09:00,0.0
2023-01-03 22:00:00+09:00,0.0
2023-01-03 23:00:00+09:00,0.0
2023-01-04 00:00:00+09:00,0.0
2023-01-04 01:00:00+09:00,0.0
2023-01-04 02:00:00+09:00,0.0
2023-01-04 03:00:00+09:00,0.0
2023-01-04 04:00:00+09:00,0.0
2023-01-04 05:00:00+09:00,0.0
2023-01-04 06:00:00+09:00,0.0
2023-01-04 07:00:00+09:00,0.03624569940443292
2023-01-04 08:00:00+09:00,0.4861527616066607
2023-01-04 09:00:00+09:00,0.4955812071920216
2023-01-04 10:00:00+09:00,0.48332649319528753
2023-01-04 11:00:00+09:00,0.5683718092321896
2023-01-04 12:00:00+09:00,0.6011861299056105
2023-01-04 13:00:00+09:00,0.4919223456809657
2023-01-04 14:00:00+09:00,0.2760417949258493
2023-01-04 15:00:00+09:00,0.17623533825788765
2023-01-04 16:00:00+09:00,0.02608666496868287
2023-01-04 17:00:00+09:00,0.0
2023-01-04 18:00:00+09:00,0.0
